"","species","SeedMass"
"1","Vicia faba","855.3375"
"2","Triticum aestivum","37.0176923076923"
"3","Geranium lucidum","0.475"
"4","Arrhenatherum elatius","2.87263636363636"
"5","Phleum pratense","0.378785714285714"
"6","Dactylis glomerata","0.846644654545455"
"7","Centaurea nigra","2.43444444444444"
"8","Rubus fruticosus","2.295"
"9","Vicia tetrasperma","4.24571428571429"
"10","Lotus corniculatus","1.21033653731343"
"11","Agrostis capillaris","0.0651619047619048"
"12","Trisetum flavescens","0.4592"
"13","Cirsium dissectum","2.37"
"14","Cynosurus cristatus","0.493052923076923"
"15","Picris echioides","1.31"
"16","Chenopodium album","0.703453780487805"
"17","Fallopia convolvulus","3.42"
"18","Brachypodium sylvaticum","2.62666666666667"
"19","Glechoma hederacea","0.69"
"20","Urtica dioica","0.1262775"
"21","Poa trivialis","0.154926923076923"
"22","Senecio sylvaticus","0.177166413793103"
"23","Aethusa cynapium","1.35"
"24","Bromus hordeaceus","2.64598094117647"
"25","Succisa pratensis","1.36857142857143"
"26","Daucus carota","1.12313698630137"
"27","Trifolium repens","0.524251348837209"
"28","Agrostis stolonifera","0.0545506666666667"
"29","Trifolium dubium","0.768378230769231"
"30","Veronica chamaedrys","0.238562131578947"
"31","Lamium album","1.775"
"32","Mercurialis perennis","5.82333333333333"
"33","Rumex sanguineus","1.13"
"34","Chaerophyllum temulum","2.0118"
"35","Ranunculus repens","2.3"
"36","Deschampsia cespitosa","0.25475"
"37","Hordeum vulgare","44.3186666666667"
"38","Tripleurospermum inodorum","0.49"
"39","Prunella vulgaris","0.963407676470588"
"40","Senecio jacobaea","0.2625"
"41","Carex flacca","0.788125"
"42","Acer campestre","110.945321529412"
"43","Cirsium arvense","1.24347022727273"
"44","Senecio vulgaris","0.209043294117647"
"45","Viola arvensis","0.351833333333333"
"46","Lolium perenne","1.94402248648649"
"47","Rumex obtusifolius","1.45733333333333"
"48","Galium aparine","9.92278709523809"
"49","Holcus lanatus","0.315068275862069"
"50","Quercus robur","3146.87815385714"
"51","Carpinus betulus","43.0352868333333"
"52","Geum urbanum","1.75013333333333"
"53","Festuca pratensis","2.29993630769231"
"54","Convolvulus arvensis","18.3766666666667"
"55","Lotus glaber","1.50537033333333"
"56","Taraxacum officinale","0.65024356"
"57","Phleum bertolonii","0.27"
"58","Cerastium fontanum","0.140399"
"59","Geranium dissectum","2.21200926666667"
"60","Rumex crispus","1.7043535"
"61","Myosotis laxa","0.175"
"62","Picea abies","6.92506261538462"
"63","Prunus padus","106.666274444444"
"64","Crataegus monogyna","163.821378947368"
"65","Rumex conglomeratus","1.86471214285714"
"66","Epilobium montanum","0.123333333333333"
"67","Malus sylvestris","25.41"
"68","Epilobium parviflorum","0.08"
"69","Cirsium vulgare","2.60755653333333"
"70","Lolium multiflorum","2.66869230769231"
"71","Anthriscus sylvestris","3.83123076923077"
"72","Bromopsis ramosa","8.83950650765223"
"73","Anisantha sterilis","8.83950650765223"
"74","Poa pratensis","0.284569027027027"
"75","Salix aurita","0.621549252427185"
"76","Pulicaria dysenterica","0.110909090909091"
"77","Leucanthemum vulgare","0.495"
"78","Torilis japonica","1.654"
"79","Elymus repens","3.814084"
"80","Poa annua","0.283832964285714"
"81","Lolium giganteum","2.50640608450704"
"82","Prunus spinosa","199.474305176471"
"83","Geranium rotundifolium","1.39"
"84","Atriplex patula","1.3445"
"85","Matricaria chamomilla","0.178514285714286"
"86","Primula veris","0.8496"
"87","Matricaria discoidea","0.178514285714286"
"88","Sonchus arvensis","0.410976333333333"
"89","Epilobium angustifolium","0.153363636363636"
"90","Heracleum mantegazzianum","8.61475232142857"
"91","Epilobium ciliatum","0.09148375"
"92","Senecio aureus","0.181"
"93","Alopecurus pratensis","0.773486486486486"
"94","Hordeum murinum","4.9154122"
"95","Deschampsia flexuosa","0.528333333333333"
"96","Rumex acetosa","0.654590909090909"
"97","Brassica napus","9934.2609245283"
"98","Helminthotheca echioides","5.6517617539267"
"99","Capsella bursa-pastoris","0.1164122"
"100","Juncus effusus","0.02042"
"101","Vicia sativa","24.8787125"
"102","Phragmites australis","1.26714285714286"
"103","Crepis capillaris","0.227644"
"104","Fraxinus excelsior","64.4747434736842"
"105","Stellaria media","0.400453086956522"
"106","Crepis vesicaria","0.327"
"107","Festuca myuros","1.26790654887218"
"108","Plantago major","0.192904526315789"
"109","Polygonum aviculare","1.205247"
"110","Fagus sylvatica","246.218081555556"
"111","Myosotis secunda","0.2"
"112","Sonchus asper","0.255358714285714"
"113","Poa nemoralis","0.251764705882353"
"114","Hedera helix","23.27036375"
"115","Geranium columbinum","4.425"
"116","Lonicera periclymenum","5.23866666666667"
"117","Geranium robertianum","1.00235255555556"
"118","Potentilla sterilis","0.56"
"119","Angelica sylvestris","1.1825"
"120","Pteridium aquilinum","NA"
"121","Corylus avellana","1096.23131416667"
"122","Calluna vulgaris","0.0356363636363636"
"123","Ilex aquifolium","38.6608245454545"
"124","Sorbus aucuparia","15.6541576"
"125","Geranium pusillum","3.40494847560976"
"126","Hypochaeris radicata","0.804389210526316"
"127","Stellaria graminea","0.2715"
"128","Calystegia sepium","25.5616666666667"
"129","Cardamine pratensis","0.6"
"130","Galium palustre","0.91"
"131","Lycopus europaeus","0.291666666666667"
"132","Lathyrus nissolia","9.37"
"133","Rosa arvensis","14.239511754386"
"134","Salix caprea","0.144700875"
"135","Juncus inflexus","0.0266666666666667"
"136","Lotus pedunculatus","0.599"
"137","Hordeum secalinum","13.5883628481013"
"138","Potentilla reptans","0.278888888888889"
"139","Ranunculus acris","1.42876923076923"
"140","Mentha arvensis","0.174666666666667"
"141","Salix fragilis","0.141165333333333"
"142","Mentha aquatica","0.12"
"143","Oenanthe crocata","3.46"
"144","Veronica arvensis","0.115885882352941"
"145","Epilobium tetragonum","0.114"
"146","Sherardia arvensis","1.5929246"
"147","Carex sylvatica","1.54"
"148","Circaea lutetiana","2.68014285714286"
"149","Parentucellia viscosa","0.0193333333333333"
"150","Crepis paludosa","0.56"
"151","Viola riviniana","1.185"
"152","Hypericum perforatum","0.1441903"
"153","Rubus ulmifolius","4.35133333333333"
"154","Impatiens noli-tangere","7.406"
"155","Veronica serpyllifolia","0.054556"
"156","Epilobium palustre","0.045"
"157","Carex remota","0.45"
"158","Juncus conglomeratus","0.017"
"159","Plantago lanceolata","1.5269752195122"
"160","Vulpia bromoides","0.426583666666667"
"161","Rosa canina","15.5887229090909"
"162","Cardamine hirsuta","0.112287714285714"
"163","Festuca rubra","0.952318216216216"
"164","Odontites vernus","0.15"
"165","Senecio erucifolius","0.373333333333333"
"166","Leontodon hispidus","1.2038"
"167","Cerastium arvense","0.289662379310345"
"168","Agrimonia eupatoria","7.6941"
"169","Ervum tetraspermum","273.929465733062"
"170","Rosa dumalis","22.254"
"171","Hyacinthoides non-scripta","5.76375"
"172","Acer pseudoplatanus","93.3927255384615"
"173","Fumaria officinalis","3.212"
"174","Lathyrus pratensis","11.3875"
"175","Chamaenerion angustifolium","0.245"
"176","Atropa belladonna","0.8925"
"177","Quercus petraea","2154.1870824"
"178","Vinca major","19.4088"
"179","Primula vulgaris","0.9158"
"180","Cardamine flexuosa","0.1116565"
"181","Persicaria hydropiper","2.032"
"182","Arum maculatum","119.706"
"183","Centaurea scabiosa","5.9216875"
"184","Carex canescens","0.35"
"185","Vicia sepium","17.645"
"186","Alliaria petiolata","2.70525"
"187","Lapsana communis","0.826067142857143"
"188","Salix cinerea","0.621549252427185"
"189","Stellaria holostea","2.92"
"190","Prunus avium","184.452624615385"
"191","Iris pseudacorus","51.335"
"192","Equisetum fluviatile","NA"
"193","Myosotis scorpioides","0.305"
"194","Hypericum tetrapterum","0.055"
"195","Schedonorus giganteus","8.83950650765223"
"196","Asperula cynanchica","1.57375"
"197","Potentilla anserina","0.897798142857143"
"198","Avenella flexuosa","8.83950650765223"
"199","Myosotis arvensis","0.512625"
"200","Betula pendula","0.421202181818182"
"201","Anthoxanthum odoratum","0.558760862068965"
"202","Scorzoneroides autumnalis","0.694395"
"203","Geranium molle","1.07183625"
"204","Jacobaea vulgaris","0.197992"
"205","Bromus ramosus","5.49833333333333"
"206","Hyacinthoides x massartiana","5.76375"
"207","Achillea millefolium","0.186194810810811"
"208","Rumex acetosella","0.72092435"
"209","Lathyrus latifolius","45.95"
"210","Myosotis sylvatica","0.744666666666667"
"211","Holcus mollis","0.315068275862069"
"212","Betula pubescens","0.258388142857143"
"213","Alnus glutinosa","1.84827819047619"
"214","Impatiens glandulifera","9.37"
"215","Dryopteris filix-mas","NA"
"216","Taxus baccata","61.1539124"
"217","Luzula campestris","0.631444444444444"
"218","Carex muricata","1.84428571428571"
"219","Rubus pruinosus","3.4005428253012"
"220","Pilosella officinarum","0.19"
"221","Digitalis purpurea","0.08917315"
"222","Linum tenuifolium","2.47"
"223","Veronica officinalis","0.106112113636364"
"224","Carex riparia","1.40299076485788"
"225","Carex hirta","2.41"
"226","Equisetum arvense","NA"
"227","Erigeron canadensis","0.0545714285714286"
"228","Populus tremuloides","0.114943833333333"
"229","Juncus tenuis","0.0123"
"230","Acer rubrum","22.7645646666667"
"231","Athyrium filix-femina","NA"
"232","Lonicera caerulea","12.3387253333333"
"233","Poa Annua","0.316196405714286"
"234","Prunus cerasus","162.04204175"
"235","Lysimachia nummularia","0.042"
"236","Ranunculus sardous","1.68167727131783"
"237","Festuca arundinacea","2.29690520833333"
"238","Sanguisorba minor","7.42961538461538"
"239","Vicia parviflora","3.61"
"240","Luzula Campestris","0.630223192307692"
"241","Veronica agrestis","0.569"
"242","Impatiens parviflora","7.70333333333333"
"243","Hydrocotyle sibthorpioides","0.854954545454545"
"244","Acer tataricum","34.4257282222222"
"245","Festuca gigantea","3.12"
"246","Myosotis discolor","0.221443"
"247","Impatiens capensis","7.406"
"248","Crataegus marshallii","106.933037042553"
"249","Stellaria alsine","0.075"
"250","Hieracium pilosella","0.136466666666667"
"251","Asparagus aculeatus","26.7403293333333"
"252","Pinus brutia","43.07733"
"253","Puccinellia distans","0.22"
"254","Festuca heterophylla","1.44"
"255","Quercus pubescens","2609.75332595616"
"256","Ruscus aculeatus","28.2548007951807"
"257","Trifolium arvense","0.45532"
"258","Trifolium campestre","0.3054"
"259","Cynosurus echinatus","1.5273225"
"260","Lagurus ovatus","0.551267333333333"
"261","Ulmus minor","15.4729190933333"
"262","Avena barbata","8.988584875"
"263","Briza media","0.328888888888889"
"264","Oxalis corniculata","0.273753944444444"
"265","Artemisia vulgaris","0.1665"
"266","Smilax aspera","38.23"
"267","Sorghum halepense","3.69616666666667"
"268","Setaria glauca","2.56276923076923"
"269","Symphyotrichum subulatum","0.07"
"270","Conyza canadensis","0.0463"
"271","Trifolium pratense","1.61913793103448"
"272","Equisetum telmateia","NA"
"273","Digitaria sanguinalis","0.522"
"274","Fragaria viridis","0.382562"
"275","Solanum nigrum","0.675642857142857"
"276","Bejaria racemosa","7.7542494005168"
"277","Lyonia lucida","7.7542494005168"
"278","Smilax auriculata","68.0553197368421"
"279","Lyonia fruticosa","7.7542494005168"
"280","Quercus myrtifolia","2609.75332595616"
"281","Serenoa repens","14416.9779070868"
"282","Quercus inopina","2609.75332595616"
"283","Selaginella arenicola","NA"
"284","Geobalanus oblongifolius","2536.14322477778"
"285","Aristida gyrans","1.35369811320755"
"286","Polygonum polygamum","2.83876940707965"
"287","Ceratiola ericoides","7.7542494005168"
"288","Rhynchospora megalocarpa","2.61104347826087"
"289","Quercus chapmanii","2609.75332595616"
"290","Quercus geminata","2609.75332595616"
"291","Gaylussacia dumosa","7.7542494005168"
"292","Vaccinium myrsinites","1.76897297590361"
"293","Palafoxia feayi","2.816"
"294","Ilex glabra","15.905558"
"295","Vaccinium darrowii","1.76897297590361"
"296","Seymeria pectinata","1.08837351086957"
"297","Trichostema suffrutescens","2.24333333333333"
"298","Xyris elliottii","2.843826"
"299","Eupatorium leptophyllum","0.18675"
"300","Syngonanthus flavidulus","NA"
"301","Amphicarpum muehlenbergianum","8.83950650765223"
"302","Dichanthelium portoricense","0.418588235294118"
"303","Andropogon virginicus","2.24358333333333"
"304","Drosera capillaris","0.0371437428571429"
"305","Fuirena scirpoidea","10.4350780842541"
"306","Lachnanthes caroliana","NA"
"307","Rhynchospora fascicularis","2.61104347826087"
"308","Sabal etonia","354.346026"
"309","Paepalanthus beyrichianus","NA"
"310","Balduina angustifolia","5.6517617539267"
"311","Commelina erecta","12.8685714285714"
"312","Quercus minima","2609.75332595616"
"313","Lechea deckertii","2.07488379746835"
"314","Cnidoscolus stimulosus","9"
"315","Paronychia chartacea","0.814968371571072"
"316","Hypericum tenuifolium","0.158153234234234"
"317","Aristida stricta","1.35369811320755"
"318","Morella pumila","21.6003448571429"
"319","Polygonum nesomii","2.83876940707965"
"320","Hypericum myrtifolium","0.158153234234234"
"321","Tillandsia recurvata","0.89"
"322","Anatherum capillipes","NA"
"323","Polygonum basiramium","2.83876940707965"
"324","Crocanthemum nashii","2.07488379746835"
"325","Opuntia austrina","24.7517025"
"326","Coleataenia abscissa","0.21"
"327","Andropogon brachystachyus","2.24358333333333"
"328","Schizachyrium stoloniferum","1.01533333333333"
"329","Dichanthelium chamaelonche","0.418588235294118"
"330","Rhynchospora fernaldii","2.61104347826087"
"331","Stipulicida setacea","0.814968371571072"
"332","Hypericum edisonianum","0.158153234234234"
"333","Abies alba","58.3699542857143"
"334","Maianthemum bifolium","10.01875"
"335","Solidago virgaurea","0.46"
"336","Hieracium murorum","0.33"
"337","Melampyrum pratense","5.46285714285714"
"338","Vaccinium myrtillus","0.354285714285714"
"339","Oxalis acetosella","1.47333333333333"
"340","Campanula rapunculoides","0.14"
"341","Rubus idaeus","1.92276711111111"
"342","Petasites albus","0.611454545454545"
"343","Aegopodium podagraria","2.3615"
"344","Viola reichenbachiana","1.47513279824561"
"345","Fragaria vesca","0.33511444"
"346","Calamagrostis epigejos","0.064"
"347","Campanula patula","0.025"
"348","Carex brizoides","0.28"
"349","Milium effusum","0.6985"
"350","Lactuca serriola","0.488005388888889"
"351","Tussilago farfara","0.346666666666667"
"352","Luzula luzuloides","0.630223192307692"
"353","poo","NA"
"354","Poa bulbosa","0.451871428571429"
"355","moss","NA"
"356","rock","NA"
"357","Bromus briziformis","3.18"
"358","Crepis acuminata","1.1656736"
"359","Bromus tectorum","2.48661045"
"360","Bromus inermis","2.8525"
"361","Symphoricarpos oreophilus","7.76981375"
"362","Agastache urticifolia","0.44"
"363","Artemisia tridentata","0.2213778"
"364","Helianthella uniflora","5.3"
"365","Prunus virginiana","72.0651307619048"
"366","Lathyrus pauciflorus","52.9801130991736"
"367","pointy","NA"
"368","Poa secunda","0.421148052631579"
"369","soil","NA"
"370","Verbascum thapsus","0.0853846153846154"
"371","Eriogonum heracleoides","1.25"
"372","Rudbeckia occidentalis","0.8"
"373","Berberis repens","7.462003"
"374","grass (dead)","NA"
"375","Galium boreale","0.6"
"376","Osmorhiza berteroi","10.5867603333333"
"377","stone","NA"
"378","Lupinus sericeus","73.560060645614"
"379","Balsamorhiza sagittata","5.6517617539267"
"380","Balsamorhiza macrophylla","5.6517617539267"
"381","Eriogonum umbellatum","2.013"
"382","Wyethia amplexicaulis","17.36375"
"383","Tragopogon dubius","10.6086666666667"
"384","finger","NA"
"385","Comandra umbellata","137.20475862069"
"386","raceme","NA"
"387","Acer grandidentatum (dead leaves)","67.7847089804878"
"388","opposite heart","NA"
"389","Alyssum desertorum","0.46"
"390","heat singed","NA"
"391","Artemisia tridentata (dead bark)","1.5085290375"
"392","Oryzopsis hymenoides","3.02"
"393","Bromus marginatus","10.42"
"394","rough leaf","NA"
"395","mustard","NA"
"396","variegated","NA"
"397","yellow head","NA"
"398","Physocarpus malvaceus","0.599745"
"399","Vicia americana","11.3573483333333"
"400","Mertensia arizonica","2.13642857142857"
"401","variagated","NA"
"402","Thalictrum fendleri","0.9425"
"403","new sticky","NA"
"404","spines","NA"
"405","perennial","NA"
"406","Maianthemum racemosum","29.4720414285714"
"407","Sedum debile","0.0434325"
"408","heat shock","NA"
"409","Arnica cordifolia","1.343"
"410","Fragaria virginiana","0.48192125"
"411","Collinsia parviflora","1.641348"
"412","fungus","NA"
"413","asparagus","NA"
"414","Cystopteris fragilis","NA"
"415","Leymus cinereus","1.356"
"416","Rosa woodsii","8.41061044444444"
"417","clover","NA"
"418","rosette","NA"
"419","Arctium minus","8.71027777777778"
"420","odd","NA"
"421","dead sage bark","NA"
"422","dandylion-esque leaf","NA"
"423","tiny thing","NA"
"424","Epilobium adenocaulon","0.174184377777778"
"425","Claytonia perfoliata","1.220675"
"426","dead sage root","NA"
"427","Pseudostellaria jamesiana","0.775"
"428","Chrysothamnus viscidiflorus","5.6517617539267"
"429","dead grass","NA"
"430","emerged leaf","NA"
"431","Maianthemum stellatum","17.5239085714286"
"432","Geranium viscosissimum","3.40494847560976"
"433","Isatis tinctoria","1.78285714285714"
"434","Lithospermum ruderale","16.175"
"435","Erodium cicutarium","2.30780508333333"
"436","tiny white","NA"
"437","Cirsium pulcherrimum","3.54768194382022"
"438","Lomatium dissectum","12.5553621428571"
"439","Oenothera caespitosa","0.499651753623188"
"440","Astragalus alpinus","5.2889537037037"
"441","Agoseris heterophylla","0.75588"
"442","Collomia linearis","1.02525"
"443","burnt annual","NA"
"444","Koeleria macrantha","0.515597571428571"
"445","Bromus catharticus","8.87055"
"446","sprout rosette","NA"
"447","dead branch","NA"
"448","Elymus glaucus","3.62200083333333"
"449","Bromus carinatus","6.39512966666667"
"450","Trisetum canescens","0.520378785714286"
"451","Amelanchier alnifolia","5.83442572727273"
"452","Paxistima myrsinites","5608.50790305738"
"453","pine needles","NA"
"454","twigs / broken trunk","NA"
"455","Clematis occidentalis","5.54900667567568"
"456","Prosartes trachycarpa","17.8013333333333"
"457","twigs","NA"
"458","Lithophragma parviflorum","0.024"
"459","Nemophila breviflora","3.256986875"
"460","organic matter","NA"
"461","Elymus trachycaulus","3.60299711111111"
"462","browsed yellow","NA"
"463","Sisymbrium altissimum","0.173909090909091"
"464","Elymus lanceolatus","3.38"
"465","Lomatium grayi","12.5553621428571"
"466","Allium acuminatum","2.316108"
"467","Bromus japonicus","2.018"
"468","Juniperus osteosperma (stick)","62.8627071428571"
"469","tiny plant","NA"
"470","Pseudotsuga menziesii","138.6029224375"
"471","Acer grandidentatum","71.4238845"
"472","Pseudotsuga menziesii (leaves)","130.73050665"
"473","Hydrophyllum capitatum","11.09"
"474","delicate vine","NA"
"475","Agoseris parviflora","1.161483"
"476","Verbascum thapsus (stalks)","0.117222222222222"
"477","Artemisia ludoviciana","1.5085290375"
"478","sticks","NA"
"479","Penstemon humilis","0.883780487804878"
"480","Hackelia patens","9.44304058823529"
"481","Pseudotsuga menziesii (cones)","130.73050665"
"482","Betula occidentalis","0.151666666666667"
"483","Salix exigua","0.04596"
"484","Cornus sericea","36.2832"
"485","Geum macrophyllum","0.696924142857143"
"486","Dracocephalum parviflorum","2.625"
"487","Cynoglossum officinale","26.8201111111111"
"488","Humulus lupulus","3.46"
"489","Mertensia oblongifolia","2.13642857142857"
"490","Epilobium brachycarpum","0.3138"
"491","Linaria genistifolia","0.1903"
"492","Artemisia tridentata (dead)","1.5085290375"
"493","Melilotus officinalis","2.2708679245283"
"494","Acer grandidentatum (leaves)","67.7847089804878"
"495","Purshia tridentata","19.90575"
"496","Purshia tridentata (stick)","19.90575"
"497","Senecio integerrimus","0.88575"
"498","Viola purpurea","1.9262"
"499","Linum lewisii","1.85928571428571"
"500","Melica bulbosa","1.59535483870968"
"501","burrow","NA"
"502","lichen","NA"
"503","Ozomelis stauropetala","0.0922523195876289"
"504","Eucephalus elegans","5.6517617539267"
"505","Astragalus convallarius","5.2889537037037"
"506","Penstemon cyananthus","0.883780487804878"
"507","Petradoria pumila","1.2"
"508","Calochortus nuttallii","4.34774382222222"
"509","Castilleja linariifolia","0.143"
"510","Elymus smithii","4.24327112162162"
"511","Arenaria serpyllifolia","0.066891380952381"
"512","Symphyotrichum ascendens","0.246846153846154"
"513","Cercocarpus ledifolius (leaves)","135.424013106817"
"514","Carex geyeri","1.40299076485788"
"515","Osmorhiza occidentalis","11.397"
"516","Delphinium occidentale","2"
"517","Apocynum androsaemifolium","195.992451671593"
"518","browsed stalks","NA"
"519","Astragalus cibarius","5.6"
"520","Leucopoa kingii","8.83950650765223"
"521","log","NA"
"522","Antennaria microphylla","0.0595176470588235"
"523","Physocarpus malvaceus (dead leaves)","0.594091666666667"
"524","Pseudotsuga menziesii (needles)","130.73050665"
"525","Acer glabrum","37.55049175"
"526","Clematis columbiana","5.54900667567568"
"527","Packera streptanthifolia","0.3686"
"528","Juniperus osteosperma","119.4641096"
"529","Rubus parviflorus","0.9915382"
"530","Shepherdia canadensis","8.886067"
"531","Eucephalus engelmannii","5.6517617539267"
"532","Senecio serra","0.954"
"533","Boechera divaricarpa","0.14"
"534","Penstemon compactus","0.883780487804878"
"535","Linaria dalmatica","0.103185714285714"
"536","Arabis nuttallii","0.406344314606742"
"537","Lomatium ambiguum","12.5553621428571"
"538","Agoseris grandiflora","1.208293"
"539","Phacelia linearis","0.750407766990291"
"540","Erysimum capitatum","1.044"
"541","Viola nuttallii","2.9"
"542","Triteleia grandiflora","1.2025"
"543","Delphinium nuttallianum","0.4146962"
"544","Sambucus cerulea","7.39615138181818"
"545","Mitella stauropetala","0.264"
"546","Epilobium angustifolium ","0.174184377777778"
"547","Agoseris glauca","1.161483"
"548","Festuca kingii","1.26790654887218"
"549","Trifolium hybridum","0.700833333333333"
"550","Dieteria canescens","5.6517617539267"
"551","Perideridia montana","2.43202475"
"552","Potentilla gracilis","0.284285714285714"
"553","Camassia quamash","3.868714"
"554","Erythronium grandiflorum","4.316"
"555","alternate leaved plant","NA"
"556","Agropyron cristatum","4.154"
"557","Ericameria nauseosa","0.893857142857143"
"558","Heliomeris multiflora","5.6517617539267"
"559","Castilleja applegatei","0.2665"
"560","Madia glomerata","0.844"
"561","Orthocarpus holmgreniorum","0.585"
"562","Stipa lettermanii","5.1017963125"
"563","Juncus confusus","0.912"
"564","Erigeron cronquistii","0.192876712328767"
"565","Microseris nutans","1.1505"
"566","Juniperus scopulorum","16.3502452"
"567","Cercocarpus ledifolius","135.424013106817"
"568","Pinus flexilis","117.9939871"
"569","Lonicera utahensis ","12.3387253333333"
"570","Goodyera oblongifolia","0.0014828"
"571","Sedum rhodanthum","0.0434325"
"572","Chaenactis douglasii","5.6517617539267"
"573","Valeriana occidentalis","1.13505882352941"
"574","Nemophila parviflora","4.58726333333333"
"575","Festuca idahoensis","0.916"
"576","Agoseris aurantiaca","1.488"
"577","Ipomopsis aggregata","2.071"
"578","Eriogonum caespitosum","0.979333333333333"
"579","Carex praegracilis","0.4265"
"580","Viola adunca","1.47513279824561"
"581","thick stalk","NA"
"582","dried star plant","NA"
"583","animal hair","NA"
"584","Artemisia tridentata (dead trunk)","1.5085290375"
"585","Verbascum thapsus (dead stalks)","0.117222222222222"
"586","fuzzy little rosette","NA"
"587","teeny tiny plant","NA"
"588","Lomatium bicolor","12.5553621428571"
"589","Aster engelmannii","0.436681818181818"
"590","Achnatherum hymenoides","2.7385"
"591","logs","NA"
"592","basal rosette of leaves","NA"
"593","Ribes montigenum","3.2031565"
"594","Lithophragma parviflora","0.024"
"595","Hackelia floribunda","9.44304058823529"
"596","Cleamatis occidentalis","NA"
"597","Cleamtis occidentalis","NA"
"598","Leonurus cardiaca","0.928333333333333"
"599","Humulus lulupus","14.365"
